id	charge	formula	name	aliases
Sirohydrochlorin_c0	-8	C42H38N4O16	Sirohydrochlorin_c0	C05778|cpd03426
Fe2_c0	2	Fe	Fe2_c0	|
Phosphoenolpyruvate_c0	-2	C3H3O6P	Phosphoenolpyruvate_c0	C00074|cpd00061
2-Phospho-D-glycerate_c0	-2	C3H5O7P	2-Phospho-D-glycerate_c0	C00631|cpd00482
1_2-diisohexadecanoyl-sn-glycerol_3-phosphate_c0	-1	C35H68O8P	1_2-diisohexadecanoyl-sn-glycerol_3-phosphate_c0	|
CDP-1_2-diisohexadecanoylglycerol_c0	-2	C44H79N3O15P2	CDP-1_2-diisohexadecanoylglycerol_c0	|
PPi_c0	-2	H2O7P2	PPi_c0	C00013|cpd00012
CTP_c0	-3	C9H13N3O14P3	CTP_c0	C00063|cpd00052
CDP-1_2-dioctadecanoylglycerol_c0	-2	C48H87N3O15P2	CDP-1_2-dioctadecanoylglycerol_c0	|
1_2-dioctadecanoyl-sn-glycerol_3-phosphate_c0	-1	C39H76O8P	1_2-dioctadecanoyl-sn-glycerol_3-phosphate_c0	|
3-Phosphonooxypyruvate_c0	-2	C3H3O7P	3-Phosphonooxypyruvate_c0	C03232|cpd02069
3-Phosphoglycerate_c0	-2	C3H5O7P	3-Phosphoglycerate_c0	C00197|C00597|cpd00169
GTP_c0	-3	C10H13N5O14P3	GTP_c0	C00044|cpd00038
Phosphate_e0	-2	HO4P	Phosphate_e0	C00009|cpd00009
Quinolinate_c0	-2	C7H3NO4	Quinolinate_c0	C03722|cpd02333
Iminoaspartate_c0	-2	C4H3NO4	Iminoaspartate_c0	C05840|cpd03470
Glycerone-phosphate_c0	-1	C3H6O6P	Glycerone-phosphate_c0	C00111|cpd00095
2R-Phosphosulfolactate_c0	-3	C3H4O9PS	2R-Phosphosulfolactate_c0	|
5'-Phosphoribosylformylglycinamidine_c0	0	C8H16N3O8P	5'-Phosphoribosylformylglycinamidine_c0	C04640|cpd02826
D-fructose-6-phosphate_c0	-1	C6H12O9P	D-fructose-6-phosphate_c0	C05345|C00085|cpd00072
D-glucose-6-phosphate_c0	-1	C6H12O9P	D-glucose-6-phosphate_c0	C00668|C00092|cpd00079
Putrescine_c0	2	C4H14N2	Putrescine_c0	C00134|cpd00118
5-Methylthioadenosine_c0	0	C11H15N5O3S	5-Methylthioadenosine_c0	C00170|cpd00147
Spermidine_c0	3	C7H22N3	Spermidine_c0	C00315|cpd00264
S-Adenosylmethioninamine_c0	2	C14H24N6O3S	S-Adenosylmethioninamine_c0	C01137|cpd00837
NH3_c0	1	NH4	NH3_c0	C01342|C00014|cpd00013
L-Glutamate_c0	-1	C5H8NO4	L-Glutamate_c0	C00025|C00302|cpd00023
L-Glutamine_c0	0	C5H10N2O3	L-Glutamine_c0	C00064|cpd00053
Sedoheptulose7-phosphate_c0	-1	C7H14O10P	Sedoheptulose7-phosphate_c0	C05382|cpd00238
Glyceraldehyde3-phosphate_c0	-1	C3H6O6P	Glyceraldehyde3-phosphate_c0	C00118|C00661|cpd00102
D-Xylulose5-phosphate_c0	-1	C5H10O8P	D-Xylulose5-phosphate_c0	C00231|cpd00198
ribose-5-phosphate_c0	-1	C5H10O8P	ribose-5-phosphate_c0	C03736|C00117|cpd00101
dATP_c0	-3	C10H13N5O12P3	dATP_c0	C00131|cpd00115
Inosine_c0	0	C10H12N4O5	Inosine_c0	C00294|cpd00246
IMP_c0	-1	C10H12N4O8P	IMP_c0	C00130|cpd00114
L-Cysteine_c0	0	C3H7NO2S	L-Cysteine_c0	C00097|cpd00084
Gly-Cys_c0	0	C5H10N2O3S	Gly-Cys_c0	|cpd15603
dUTP_c0	-3	C9H12N2O14P3	dUTP_c0	C00460|cpd00358
dUDP_c0	-2	C9H12N2O11P2	dUDP_c0	C01346|cpd00978
phosphatidylserine_dihexadecanoyl_c0	-2	C38H72NO10P	phosphatidylserine_dihexadecanoyl_c0	|
