reaction_id	probability	complex_diagnostic	complex_details	putative_GPR
rxn05206	0.788387734240277	HASCOMPLEXES	///kb|cpx.1442 (0.7884; CPLX_FULL) 	(fig|267377.1.peg.264 or fig|267377.1.peg.1486 or fig|267377.1.peg.534)
rxn00338	0.0995854651997723	HASCOMPLEXES	///kb|cpx.467 (0.0996; CPLX_FULL) 	fig|267377.1.peg.1277
rxn00088	0	HASCOMPLEXES	///kb|cpx.50167 (0.0000; CPLX_NOREPS) 	
rxn02483	0.88062045807953	HASCOMPLEXES	///kb|cpx.31 (0.8806; CPLX_FULL) 	(fig|267377.1.peg.486 or fig|267377.1.peg.807)
rxn00086	0.0345152507370101	HASCOMPLEXES	///kb|cpx.1357 (0.0345; CPLX_FULL) 	fig|267377.1.peg.1332
rxn00330	0	HASCOMPLEXES	///kb|cpx.508 (0.0000; CPLX_NOTTHERE) ///kb|cpx.509 (0.0000; CPLX_NOTTHERE) 	
rxn00333	0	HASCOMPLEXES	///kb|cpx.1745 (0.0000; CPLX_NOREPS_AND_NOTTHERE) ///kb|cpx.1743 (0.0000; CPLX_NOTTHERE) 	
rxn00085	0.0184337193364023	HASCOMPLEXES	///kb|cpx.780 (0.0184; CPLX_FULL) 	(fig|267377.1.peg.81 and fig|267377.1.peg.1503)
rxn00082	0	HASCOMPLEXES	///kb|cpx.833 (0.0000; CPLX_NOTTHERE) 	
rxn00083	0.00359683210884413	HASCOMPLEXES	///kb|cpx.1541 (0.0000; CPLX_NOTTHERE) ///kb|cpx.121 (0.0036; CPLX_FULL) ///kb|cpx.1540 (0.0000; CPLX_NOTTHERE) 	fig|267377.1.peg.1332
rxn00337	0.717905036984466	HASCOMPLEXES	///kb|cpx.1572 (0.7179; CPLX_FULL) 	fig|267377.1.peg.1017
rxn00336	0	HASCOMPLEXES	///kb|cpx.1897 (0.0000; CPLX_NOTTHERE) 	
rxn08306	0.151731880729117	HASCOMPLEXES	///kb|cpx.209 (0.1517; CPLX_FULL) 	fig|267377.1.peg.1698
rxn01210	0	HASCOMPLEXES	///kb|cpx.440 (0.0000; CPLX_NOTTHERE) 	
