cco_keggcompound_id	cco_chebi_id
C08559	7031
C02066	15742
C07549	59818
C03634	17598
C03341	15914
C05434	27533
C18482	83138
C01682	17249
C06005	27765
C09932	5602
C16521	35194
C15013	79536
C11332	6418
C19223	82314
C10650	6451
C03996	17382
C13718	34696
C10575	3350
C00630	15479
C11060	28937
C07414	7930
C06947	4470
C17435	81086
C07649	46345
C15307	79809
C11892	29517
C11260	991
C07532	8890
C04102	28468
C16461	67264
C10809	2120
C04144	17420
C09626	3355
C04336	27788
C19118	82239
C10619	9417
C18694	81892
C05901	28814
C09233	8621
C15532	49002
C07606	5835
C19020	82152
C10925	2394
C18747	38537
C08839	9049
C04471	15624
C09468	5529
C15311	79813
C02919	18428
C09271	6411
C11575	2321
C10135	3433
C10354	28649
C10248	3141
C16195	80373
C09594	7509
C10962	9678
C04673	17845
C06071	2315
C09675	5550
C03040	15391
C11523	33203
C16497	80532
C05481	3899
C03037	15392
C06876	27986
C00915	3056
C18745	81932
C12435	31131
C05478	1690
C02201	17098
C18416	38476
C10907	3760
C12609	31924
C15039	79559
C12766	31444
C07506	8481
C06767	50385
C14775	63966
C03199	49181
C17715	32368
C08587	27793
C10671	2518
C06852	3127
C01800	4342
C07674	3209
C09313	28126
C19173	82279
C17391	81054
C17975	81426
C12026	29474
C11003	27840
C09849	10360
C01675	3697
C00020	456215
C04652	17787
C19482	82512
C10614	9079
C10043	42491
C07258	7514
C12293	31726
C15032	79554
C08298	9690
C04101	15723
C14708	34591
C12153	31549
C00650	18115
C06991	4909
C05944	27373
C14062	34819
C01726	32969
C08099	3534
C10169	8916
C11844	29644
C15725	80055
C08540	3080
C07714	6062
C00148	17203
C11843	29466
C10635	2730
C10165	8217
C08393	9751
C06071	18370
C17946	81402
C19447	82484
C08280	6332
C07952	3649
C11453	18425
C16184	80366
C00698	17996
C14926	79451
C08066	3241
C12247	32099
C18870	26634
C02116	16037
C00296	17521
C13671	34020
C00536	39949
C09770	2213
C16265	80408
C03149	16621
C07359	7823
C12161	31875
C16558	80565
C05817	11656
C09014	2108
C14220	34365
C16403	20307
C00186	422
C15933	80188
C18768	81947
C14290	34483
C18925	82067
C18730	81919
C17574	27955
C04409	995
C11787	7458
C12629	31143
C18592	81852
C04257	28273
C06865	3306
C04186	47960
C06153	27374
C16826	19515
C14383	34165
C11568	235
C15511	52086
C11441	4447
C12475	31469
C10696	5792
C08979	9645
C02294	16628
C18311	81662
C07481	27732
C15742	80070
C00219	15843
C18078	81483
C14391	34701
C09061	2598
C11466	2085
C06114	28092
C16226	80393
C12180	31027
C03785	4250
C06569	2286
C08249	8676
C11883	52482
C00559	17256
C12238	31961
C14945	79469
C11998	29649
C17241	50705
C03325	15645
C18349	81695
C00757	16118
C10025	2981
C14042	33167
C06151	27374
C15422	79923
C14088	20141
C12865	31268
C10329	28677
C10102	6553
C09302	2849
C01479	57858
C14706	34699
C00793	16375
C11459	3246
C19468	82500
C16758	80708
C05637	28883
C04630	63273
C15132	79650
C17396	81059
C00993	16576
C01659	28619
C00051	16856
C08027	7457
C17018	64254
C08623	10274
C00379	15963
C00227	15350
C06372	27707
C00727	16536
C01380	30742
C17756	74683
C12264	31140
C02091	16282
C12454	31211
C15584	15882
C07406	51173
C19444	82483
C19231	82321
C01094	18105
C00504	27470
C06348	18417
C05994	28652
C04175	28767
C05668	27762
C02722	15860
C10364	8822
C19494	76258
C16941	80810
C00112	17239
C09563	9724
C10151	1556
C04451	16321
C16424	71679
C18060	44313
C00355	15765
C05410	5571
C19565	82563
C03172	17728
C15159	79677
C05601	73089
C12191	32343
C19595	82585
C18523	81803
C15023	79546
C09564	9776
C18452	81756
C09214	5852
C04244	17248
C19327	82389
C13758	34555
C19570	82566
C12150	32157
C03894	18025
C03198	32802
C18279	81630
C01794	15519
C10691	5617
C09905	10578
C14785	34063
C18726	83291
C10384	8185
C12104	29564
C09212	715
C00532	18403
